id,registered_provider_name,head_office_location,phone_number,website,email_address,head_office_address,lon,lat,category,sub_category
5,Barnardos Australia Downer,Downer,(02) 6228 9500,www.barnardos.org.au,akegerton@barnardos.org.au,"2 Atherton Street, Downer ACT 2602",149.1422129,-35.2439582,,
8,Community Options Inc,Griffith,(02) 6295 8800,www.communityoptions.com.au,admin@communityoptions.com.au,"1 Franklin St, Griffith ACT 2603",149.134602,-35.3202247,,
13,Focus Act Incorporated,Deakin,(02) 6282 9422,www.focusact.org/,focus@focusact.org,"32 Thesiger Court, Deakin, ACT 2600",149.0961936,-35.3166588,,
16,Havelock Housing,Turner,(02) 6257 2277,www.havelock.asn.au,info@havelock.asn.au,"85 Northbourne Avenue, Turner, ACT 2612",149.1291773,-35.2735334,,
17,House With No Steps - Act,Belconnen,(02) 9451 1511,www.hwns.com.au,csact@hwns.com.au,"60-62 Oatley Court, Belconnen, ACT 2617",149.057774,-35.2425761,,
24,Mac Healthcare Services Pty. Ltd.,Nicholls,1300 526 877,www.machealthcare.com.au,machealth@hotmail.com,"36 Rosella Street, Nicholls, ACT 2913",149.1143784,-35.1883264,,
25,Mental Health Foundation (Act),Chifley,(02) 6282 6604,www.mhf.org.au,angie.ingram@mhf.org.au,"11/70 Maclaurin Cres, Chifley, ACT 2606",149.078303,-35.3529984,,
29,Society Of St. Vincent De Paul Pty. Limi,Deakin,(02) 6282 2722,www.vinnies.org.au,paul.trezise@svdp-cg.org.au,"15 Denison Street, Deakin, ACT 2600",149.096925,-35.315661,,
33,Ultimate Disability Care Pty Ltd,Hawker,0436 127 247,www.udcare.com.au,info@udcare.com.au,"11/41 Jinka Street, Hawker, ACT 2614",149.0421551,-35.2420744,,
43,Act Education And Training Directorate,Stirling,(02) 6205 6925,www.det.act.gov.au,disabilityeducation@act.gov.au,"1 Fremantle Drive, Stirling, ACT 2611",149.046093,-35.3551529,,
48,Belconnen Community Service Inc,Belconnen,(02) 6264 0200,www.bcsact.com.au,ndis@bcsact.com.au,"26 Chandler Street, Belconnen, ACT 2617",149.069655,-35.2389303,,
51,Cerebral Palsy Alliance - Act,Scullin,1300 888 378,www.cerebralpalsy.org.au,info@cerebralpalsy.org.au,"5 Ross Smith St, Scullin, ACT 2614",149.0402884,-35.2401181,,
54,Community Connections Incorporated - Kam,Kambah,(02) 6296 1133,www.comcons.org.au,admin@comcons.org.au,"21 Jenke Circuit, Kambah, ACT 2902",149.0691793,-35.395415,,
58,Empower Care Services Pty Ltd,Fadden,0426 821 377,,heartsonsam@yahoo.com.au,"426 Bugden Ave, Fadden, ACT 2904",149.1097815,-35.4013694,,
69,Livability Australia Pty. Ltd.,Kambah,0423 075 350,,geraldine123@outlook.com,"26 Ragless Circuit, Kambah, ACT 2902",149.0614236,-35.3969802,,
73,Max Solutions Pty Ltd Act,Belconnen,1800 104 400,www.maxsolutions.com.au,ndis@maxsolutions.com.au,"11-17 Swanson Court, Belconnen, ACT 2617",149.0686805,-35.2384177,,
87,The Shepherd Centre - For Deaf Children,Rivett,(02) 9370 4402,www.shepherdcentre.org.au,accounts@shepherdcentre.org.au,"1 Nealie Place, Rivett,+G25 ACT 2611",149.0389755,-35.3478931,,
102,Amax Care Services Pty. Ltd.,Griffith,0432 382 102,,amaxcare16@gmail.com,"17 Captain Cook Crescent, Griffith, ACT 2603",149.1352599,-35.3210153,,
107,Capital Health Network Ltd,Deakin,(02) 6287 8099,www.actml.com.au,reception@chnact.org.au,"1 Geils Circuit, Deakin ACT 2600",149.0966869,-35.3179234,,
113,Caring Approach - Act,Dickson,0431 744 321,www.caringapproach.com.au,admin@caringapproach.com.au,"490 Northbourne Ave, Dickson, ACT 2602",149.1345844,-35.2492139,,
123,Disability Aging And Community Care Serv,Palmerston,0420 364 736,www.daaccs.com.au,admin@daaccs.com.au,"2 Gingera Street, Palmerston, ACT 2913",149.1187628,-35.190805,,
142,Kincare Health Services Pty Ltd - Act,Deakin,1300 733 510,www.kincare.com.au,act@kincare.com.au,"17 Napier Close, Deakin, ACT 2600",149.0965299,-35.3217013,,
150,Manmaid,Mitchell,0411 500 328,www.manmaidcare.com,manmaidcare@gmail.com,"Mitchell, ACT 2911",149.140833,-35.215278,,
153,More Choice,Kambah,0434 626 456,,jenna.houghton@live.com,"26 Ragless Cresent, Kambah, ACT 2902",149.0614236,-35.3969802,,
